Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),EV CHARGING POWER DRAW:Schedule Value [](TimeStep),EV CHARGING POWER DRAW COPY:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep)
 01/02  11:00:00,,0.311063055,0.62212611,514128848.5,109585053.9
 01/02  12:00:00,,0.58175556,0.527657637,443503691,111651609.6
 01/02  13:00:00,,0.727214244,0.673116321,502528917.2,105921934.3
 01/02  14:00:00,,0.271113135,0.542226269,447871906.2,104023681.9
 01/02  15:00:00,,0.817928991,0.645572502,419979993.1,86482225.59
 01/02  16:00:00,,0.447757796,0.895515593,424987207.4,84672708.72
 01/02  17:00:00,,1.652487623,0.653312087,447183663.7,94210003.11
 01/02  18:00:00,,1.614244965,0.615069429,481720849.3,99831500.61
 01/02  19:00:00,,1,1,405924755.6,116483267.9
 01/02  20:00:00,,0.805372183,0.805372183,379853079.8,106472330.5
 01/02  21:00:00,,0.57728204,0.57728204,367551359.9,122740319
 01/02  22:00:00,,0.592761211,0.592761211,366188894.1,114200480.5
 01/02  23:00:00,,0.389255634,0.389255634,100704522.2,11199267.53
 01/02  24:00:00,,0.340541771,0.340541771,92744575.73,11184383.96
 01/03  01:00:00,,0.240837696,0.240837696,73841457.51,7212348.775
 01/03  02:00:00,,0.094613398,0.173913043,73695471.3,7212348.775
 01/03  03:00:00,,0.058191818,0.137491464,73522490.88,11108542.49
 01/03  04:00:00,,0.013575383,0.092875028,73443042.61,7212348.775
 01/03  05:00:00,,0.000600195,0.079899841,73345718.47,7212348.775
 01/03  06:00:00,,0.043395551,0.122695197,500681328,11108812.5
 01/03  07:00:00,,0.077313147,0.156612793,519543870.9,11224942.98
 01/03  08:00:00,,0.138774563,0.218074209,464475819.7,181147197.3
 01/03  09:00:00,,0.366864707,0.446164352,491258093.3,154255649
 01/03  10:00:00,,0.41421276,0.493512406,380846743.8,116457262.2
 01/03  11:00:00,,0.542826464,0.62212611,350287049.4,84563483.43
 01/03  12:00:00,,0.448357991,0.527657637,345187180.8,51163783.75
 01/03  13:00:00,,0.336558161,0.673116321,355145644.4,37715552.89
 01/03  14:00:00,,0.531528894,0.542226269,332789793.3,34067852.23
 01/03  15:00:00,,0.322786251,0.645572502,315054350.9,27559648.27
 01/03  16:00:00,,0.447757796,0.895515593,319364863.6,24205510.71
 01/03  17:00:00,,1.641480442,0.653312087,357097685.8,41089634.24
 01/03  18:00:00,,1.603237783,0.615069429,365783913.3,48982877.89
 01/03  19:00:00,,1,1,273379682.5,67399055.75
 01/03  20:00:00,,0.805372183,0.805372183,268188186,57318264.59
 01/03  21:00:00,,0.57728204,0.57728204,265277480.4,70047622.03
 01/03  22:00:00,,0.592761211,0.592761211,266794698.9,73000716.88
 01/03  23:00:00,,0.389255634,0.389255634,100704522.2,11201739.28
 01/03  24:00:00,,0.340541771,0.340541771,92744575.73,11196631.93
 01/04  01:00:00,,0.240837696,0.240837696,73841457.51,11107556.89
 01/04  02:00:00,,0.095486984,0.173913043,73695471.3,7212348.775
 01/04  03:00:00,,0.059065404,0.137491464,73524396.48,7212348.775
 01/04  04:00:00,,0.014448969,0.092875028,73444948.21,11107408.9
 01/04  05:00:00,,0.001473781,0.079899841,73347624.07,7212348.775
 01/04  06:00:00,,0.044269137,0.122695197,372599254.4,7212348.775
 01/04  07:00:00,,0.078186733,0.156612793,365752871.7,14903870.54
 01/04  08:00:00,,0.139648149,0.218074209,351622954.5,39303297.64
 01/04  09:00:00,,0.367738292,0.446164352,399620196.7,34242596.38
 01/04  10:00:00,,0.415086346,0.493512406,329181923.4,30012639.3
 01/04  11:00:00,,0.54370005,0.62212611,313180162.2,25539148.99
 01/04  12:00:00,,0.449231577,0.527657637,340152139.4,30964805.35
 01/04  13:00:00,,0.594690262,0.673116321,357323408,37129048.89
 01/04  14:00:00,,0.271113135,0.542226269,361596200.3,36718857.85
 01/04  15:00:00,,0.322786251,0.645572502,344058801.7,25164877.82
 01/04  16:00:00,,1.066830828,0.895515593,326716247.8,25053665.63
 01/04  17:00:00,,0.824627322,0.653312087,335066492.3,30631582.72
 01/04  18:00:00,,0.786384663,0.615069429,295942088.8,20194905.29
 01/04  19:00:00,,1,1,192316298.3,19923283.72
 01/04  20:00:00,,0.805372183,0.805372183,198729099.1,15481366.91
 01/04  21:00:00,,0.57728204,0.57728204,196456357.6,18411811.3
 01/04  22:00:00,,0.592761211,0.592761211,207569815.7,29998640.69
 01/04  23:00:00,,0.389255634,0.389255634,100704522.2,11197926.57
 01/04  24:00:00,,0.340541771,0.340541771,92744575.73,11177806.13
 01/05  01:00:00,,0.240837696,0.240837696,73841457.51,7212348.775
 01/05  02:00:00,,0.160316596,0.173913043,73695471.3,7212348.775
 01/05  03:00:00,,0.123895016,0.137491464,73665812.67,11107255.52
 01/05  04:00:00,,0.079278581,0.092875028,73586364.39,7212348.775
 01/05  05:00:00,,0.066303393,0.079899841,73489040.25,7212348.775
 01/05  06:00:00,,0.10909875,0.122695197,82148440.84,11107482.48
 01/05  07:00:00,,0.143016346,0.156612793,114354697.6,11221330.12
 01/05  08:00:00,,0.204477762,0.218074209,329804766.6,18685417.11
 01/05  09:00:00,,0.432567905,0.446164352,378155116.8,27596852.88
 01/05  10:00:00,,0.479915959,0.493512406,322659452.9,25453846.68
 01/05  11:00:00,,0.608529663,0.62212611,311850489.7,29989969.27
 01/05  12:00:00,,0.51406119,0.527657637,324875508,31117406.31
 01/05  13:00:00,,0.659519874,0.673116321,325472847.7,37139123.91
 01/05  14:00:00,,0.271113135,0.542226269,330446368.7,33181565.72
 01/05  15:00:00,,0.725618486,0.645572502,309907109.4,28138389.55
 01/05  16:00:00,,0.447757796,0.895515593,311118102.5,24158181.46
 01/05  17:00:00,,1.437096447,0.653312087,336605868.1,30198835.8
 01/05  18:00:00,,1.398853788,0.615069429,323553576.3,47158971.31
 01/05  19:00:00,,1,1,212982210.6,49633928.3
 01/05  20:00:00,,0.805372183,0.805372183,209527954,35562265.04
 01/05  21:00:00,,0.57728204,0.57728204,196617558.9,32712191.21
 01/05  22:00:00,,0.592761211,0.592761211,202838466.4,52996682.39
 01/05  23:00:00,,0.389255634,0.389255634,100704522.2,11190752.14
 01/05  24:00:00,,0.340541771,0.340541771,92744575.73,11183142.4
 01/06  01:00:00,,0.240837696,0.240837696,73841457.51,11107107.32
 01/06  02:00:00,,0.111707936,0.173913043,73695471.3,7212348.775
 01/06  03:00:00,,0.075286356,0.137491464,73559780.08,7212348.775
 01/06  04:00:00,,0.030669921,0.092875028,73480331.81,11107366.38
 01/06  05:00:00,,0.017694733,0.079899841,73383007.67,7212348.775
 01/06  06:00:00,,0.060490089,0.122695197,266420212.4,7212348.775
 01/06  07:00:00,,0.094407685,0.156612793,268900509.2,13275938.41
 01/06  08:00:00,,0.155869101,0.218074209,308191998.6,113802669.9
 01/06  09:00:00,,0.383959244,0.446164352,419662389.9,109452314.1
 01/06  10:00:00,,0.431307298,0.493512406,354776826.4,109554722.7
 01/06  11:00:00,,0.311063055,0.62212611,340750717.2,104786999.6
 01/06  12:00:00,,0.263828819,0.527657637,344662569.3,97807804.95
 01/06  13:00:00,,0.336558161,0.673116321,379823431.8,90106560.3
 01/06  14:00:00,,0.673310417,0.542226269,348870050.5,88064395.61
 01/06  15:00:00,,0.322786251,0.645572502,329472449.3,80313698.24
 01/06  16:00:00,,1.285954255,0.895515593,333471435.2,80156644.43
 01/06  17:00:00,,1.043750749,0.653312087,371279375.7,80717053.48
 01/06  18:00:00,,1.005508091,0.615069429,360343197.9,81033617.67
 01/06  19:00:00,,1,1,261045653.2,97059128.41
 01/06  20:00:00,,0.805372183,0.805372183,245914937.6,86976855.35
 01/06  21:00:00,,0.57728204,0.57728204,236974361.7,104620680.2
 01/06  22:00:00,,0.592761211,0.592761211,237327257.7,96846334.73
 01/06  23:00:00,,0.389255634,0.389255634,100704522.2,11176270.87
 01/06  24:00:00,,0.340541771,0.340541771,92744575.73,11171343.51
 01/07  01:00:00,,0.063282495,0.063282495,61960495.73,7212348.775
 01/07  02:00:00,,0.015905589,0.046892784,61924744,7212348.775
 01/07  03:00:00,,-0.003443376,0.02754382,61857150.03,11107613.03
 01/07  04:00:00,,-0.02279234,0.008194855,61814943.13,7212348.775
 01/07  05:00:00,,-0.026889768,0.004097428,61772736.24,7212348.775
 01/07  06:00:00,,-0.026889768,0.004097428,293222942.3,11107880.67
 01/07  07:00:00,,-0.019833087,0.011154109,286653318.5,11215252.96
 01/07  08:00:00,,0.025921523,0.056908718,264141547.9,116076466.1
 01/07  09:00:00,,0.14019423,0.171181425,273635052.5,116772239.7
 01/07  10:00:00,,0.225784942,0.256772137,258550453.8,113861166.6
 01/07  11:00:00,,0.444542056,0.475529251,239812825.6,108861285.8
 01/07  12:00:00,,0.511267926,0.511267926,231487033.7,106746108.5
 01/07  13:00:00,,0.464196446,0.501707262,196725099.3,97857524.86
 01/07  14:00:00,,0.536356701,0.573867517,185989378.1,93107103.12
 01/07  15:00:00,,0.479447983,0.516958798,188585192.9,97316380.88
 01/07  16:00:00,,0.449123606,0.449123606,199927814.3,98162724.89
 01/07  17:00:00,,0.438652402,0.438652402,218614224.8,107247107.4
 01/07  18:00:00,,0.599020052,0.336444343,100073450.5,116523848.9
 01/07  19:00:00,,0.435010244,0.435010244,79402908.52,11213917.15
 01/07  20:00:00,,0.352378784,0.352378784,72454720.42,7212348.775
 01/07  21:00:00,,0.254495789,0.254495789,72241203.17,11107721.62
 01/07  22:00:00,,0.219895288,0.219895288,72165727.31,7212348.775
 01/07  23:00:00,,0.12610972,0.12610972,71961148,7212348.775
 01/07  24:00:00,,0.097882996,0.097882996,71899575.59,11107950.04
 01/08  01:00:00,,0.069883906,0.069883906,61974895.73,7212348.775
 01/08  02:00:00,,-0.00672598,0.014113362,61853240.55,7212348.775
 01/08  03:00:00,,-0.013782661,0.007056681,61807782.62,11108173.12
 01/08  04:00:00,,-0.013782661,0.007056681,61792389.52,7212348.775
 01/08  05:00:00,,-0.013782661,0.007056681,61792389.52,7212348.775
 01/08  06:00:00,,0.051320913,0.072160255,61792389.52,11108397.67
 01/08  07:00:00,,0.018996761,0.039836103,78208184.06,11173768.75
 01/08  08:00:00,,0.046540581,0.067379923,49620273.71,7212348.775
 01/08  09:00:00,,0.104587473,0.125426815,48656894.15,11168924.51
 01/08  10:00:00,,0.141464323,0.162303665,48578825.5,11177930.47
 01/08  11:00:00,,0.219543085,0.240382427,48659266.88,11168700.73
 01/08  12:00:00,,0.22773794,0.248577282,48829584.12,11192391.87
 01/08  13:00:00,,0.215114956,0.215114956,48847459.98,11201803.86
 01/08  14:00:00,,0.291837054,0.318233553,49044862.75,15294215.96
 01/08  15:00:00,,0.329387662,0.329387662,48987282.69,11199236.04
 01/08  16:00:00,,0.206414163,0.247894377,49096122.81,7212348.775
 01/08  17:00:00,,0.285454132,0.285454132,49824407.65,11159697.61
 01/08  18:00:00,,0.365961243,0.241520601,78623076.48,11174007.05
 01/08  19:00:00,,0.226269064,0.226269064,72484348.53,7212348.775
 01/08  20:00:00,,0.223309811,0.223309811,72173175.59,11108979.67
 01/08  21:00:00,,0.165262918,0.165262918,72046554.9,7212348.775
 01/08  22:00:00,,0.160710221,0.160710221,72036623.86,11108102.42
 01/08  23:00:00,,0.117914865,0.117914865,71943272.14,7212348.775
 01/08  24:00:00,,0.086273617,0.086273617,71874251.45,7212348.775
 01/09  01:00:00,,0.240837696,0.240837696,91338549.09,11108898.59
 01/09  02:00:00,,0.164036802,0.173913043,73695471.3,7212348.775
 01/09  03:00:00,,0.127615222,0.137491464,97312303.72,7212348.775
 01/09  04:00:00,,0.082998787,0.092875028,73594479.47,11109146.69
 01/09  05:00:00,,0.070023599,0.079899841,104813352.8,8754346.395
 01/09  06:00:00,,0.112818955,0.122695197,350614081.6,7212348.775
 01/09  07:00:00,,0.146736552,0.156612793,555348921.1,13548166.79
 01/09  08:00:00,,0.208197968,0.218074209,523842633.4,222933591.8
 01/09  09:00:00,,0.436288111,0.446164352,499212577.7,178624183.4
 01/09  10:00:00,,0.483636165,0.493512406,400238063.6,151185615.5
 01/09  11:00:00,,0.612249868,0.62212611,365207759.2,110991533.5
 01/09  12:00:00,,0.263828819,0.527657637,357116608.4,82079160.26
 01/09  13:00:00,,0.336558161,0.673116321,374848199.9,62543082.77
 01/09  14:00:00,,0.687185893,0.542226269,339298935.9,57499896.04
 01/09  15:00:00,,0.322786251,0.645572502,320088575.7,44819939.85
 01/09  16:00:00,,1.307758575,0.895515593,322749965.4,63483063.15
 01/09  17:00:00,,1.065555069,0.653312087,363600772.6,101895622
 01/09  18:00:00,,1.02731241,0.615069429,382492230.7,121032586.9
 01/09  19:00:00,,1,1,308944882.9,154568677.9
 01/09  20:00:00,,0.805372183,0.805372183,297887360.2,164842754.8
 01/09  21:00:00,,0.57728204,0.57728204,299882323.4,175358994.4
 01/09  22:00:00,,0.592761211,0.592761211,304444185.2,167881269.2
 01/09  23:00:00,,0.389255634,0.389255634,100704522.2,11194215.55
 01/09  24:00:00,,0.340541771,0.340541771,92744575.73,11187988.14
 01/10  01:00:00,,0.240837696,0.240837696,73841457.51,7212348.775
 01/10  02:00:00,,0.141195347,0.173913043,73695471.3,11107464.07
 01/10  03:00:00,,0.104773767,0.137491464,73624102.5,7212348.775
 01/10  04:00:00,,0.060157332,0.092875028,73544654.22,7212348.775
 01/10  05:00:00,,0.047182144,0.079899841,73447330.08,11107802.46
 01/10  06:00:00,,0.0899775,0.122695197,454310739.4,7212348.775
 01/10  07:00:00,,0.123895096,0.156612793,444616491.3,11210247.83
 01/10  08:00:00,,0.185356512,0.218074209,404689370.8,190747377.9
 01/10  09:00:00,,0.413446655,0.446164352,434876650.5,153127897.4
 01/10  10:00:00,,0.460794709,0.493512406,345971870.9,104279047.6
 01/10  11:00:00,,0.589408413,0.62212611,333360650,95123293.49
 01/10  12:00:00,,0.263828819,0.527657637,333039813.6,37791614.01
 01/10  13:00:00,,0.689053597,0.673116321,341516436.1,37183191.62
 01/10  14:00:00,,0.558163545,0.542226269,333011529.7,36770382.74
 01/10  15:00:00,,0.322786251,0.645572502,310017765.9,25170981.32
 01/10  16:00:00,,0.447757796,0.895515593,313058397.9,25069231.22
 01/10  17:00:00,,1.739140829,0.653312087,337951925.8,55635741.98
 01/10  18:00:00,,1.700898171,0.615069429,338854919.6,66649407.4
 01/10  19:00:00,,1,1,245469422.8,95291827.89
 01/10  20:00:00,,0.805372183,0.805372183,247659193.8,111714183.9
 01/10  21:00:00,,0.57728204,0.57728204,251108736.9,127177137.5
 01/10  22:00:00,,0.592761211,0.592761211,256402148.4,136910465.5
 01/10  23:00:00,,0.389255634,0.389255634,100704522.2,11202967.75
 01/10  24:00:00,,0.340541771,0.340541771,92744575.73,11177843.73
 01/11  01:00:00,,0.240837696,0.240837696,73841457.51,7212348.775
 01/11  02:00:00,,0.087736159,0.173913043,73695471.3,7212348.775
 01/11  03:00:00,,0.051314579,0.137491464,73507489.21,11107498.44
 01/11  04:00:00,,0.006698144,0.092875028,73428040.93,7212348.775
 01/11  05:00:00,,-0.006277044,0.079899841,73330716.79,7212348.775
 01/11  06:00:00,,0.036518313,0.122695197,353281160,11108735.95
 01/11  07:00:00,,0.070435909,0.156612793,333788963.6,11213191.32
 01/11  08:00:00,,0.131897325,0.218074209,335446946.2,108121708.2
 01/11  09:00:00,,0.359987468,0.446164352,389603291.6,62783461.49
 01/11  10:00:00,,0.407335522,0.493512406,334222419.3,36497546.19
 01/11  11:00:00,,0.535949225,0.62212611,317597136.6,30831509.11
 01/11  12:00:00,,0.441480753,0.527657637,324414454.7,31010841.88
 01/11  13:00:00,,0.586939437,0.673116321,327305018.8,37184548.88
 01/11  14:00:00,,0.271113135,0.542226269,339192217.7,36773992.32
 01/11  15:00:00,,0.322786251,0.645572502,316110669,25160434.24
 01/11  16:00:00,,0.447757796,0.895515593,313594322.1,25074602.01
 01/11  17:00:00,,1.611303909,0.653312087,328436581.9,30673372.16
 01/11  18:00:00,,1.57306125,0.615069429,300455176.5,20211413.17
 01/11  19:00:00,,1,1,195477809.7,32046874.67
 01/11  20:00:00,,0.805372183,0.805372183,197608627.2,39177675.16
 01/11  21:00:00,,0.57728204,0.57728204,194541611.5,41075670.63
 01/11  22:00:00,,0.592761211,0.592761211,203347093.4,42750352.31
 01/11  23:00:00,,0.389255634,0.389255634,100704522.2,11188405.88
 01/11  24:00:00,,0.340541771,0.340541771,92744575.73,11195865.87
 01/12  01:00:00,,0.240837696,0.240837696,73841457.51,7212348.775
 01/12  02:00:00,,0.097881947,0.173913043,73695471.3,7212348.775
 01/12  03:00:00,,0.061460367,0.137491464,73529620.74,11107053.85
 01/12  04:00:00,,0.016843932,0.092875028,73450172.46,7212348.775
 01/12  05:00:00,,0.003868744,0.079899841,73352848.32,7212348.775
 01/12  06:00:00,,0.0466641,0.122695197,276002327,11108924.51
 01/12  07:00:00,,0.080581696,0.156612793,263685836.7,11213549.36
 01/12  08:00:00,,0.142043112,0.218074209,285628666,70502355.38
 01/12  09:00:00,,0.370133255,0.446164352,373440477.8,42475329.65
 01/12  10:00:00,,0.417481309,0.493512406,326092736.6,28221593.53
 01/12  11:00:00,,0.546095013,0.62212611,316282638.1,27235518.69
 01/12  12:00:00,,0.45162654,0.527657637,343954317.8,34036946.98
 01/12  13:00:00,,0.597085225,0.673116321,368697712,37186400.22
 01/12  14:00:00,,0.466195172,0.542226269,377048671.5,32814458.03
 01/12  15:00:00,,0.322786251,0.645572502,346031580.9,28794627.34
 01/12  16:00:00,,0.447757796,0.895515593,323183867.4,25008225.28
 01/12  17:00:00,,1.401923462,0.653312087,333871383.3,29634645.14
 01/12  18:00:00,,1.363680803,0.615069429,295877170.8,21791248.69
 01/12  19:00:00,,1,1,180774541.9,29217177.75
 01/12  20:00:00,,0.805372183,0.805372183,180568932.2,26897742.64
 01/12  21:00:00,,0.57728204,0.57728204,178570958.7,32263962.72
 01/12  22:00:00,,0.592761211,0.592761211,182824544.2,27335568.24
 01/12  23:00:00,,0.389255634,0.389255634,100704522.2,9592345.138
 01/12  24:00:00,,0.340541771,0.340541771,92744575.73,11175267.34
 01/13  01:00:00,,0.240837696,0.240837696,73841457.51,11106681.21
 01/13  02:00:00,,0.114499442,0.173913043,73695471.3,7212348.775
 01/13  03:00:00,,0.078077863,0.137491464,73565869.34,7212348.775
 01/13  04:00:00,,0.033461427,0.092875028,73486421.06,11106967.3
 01/13  05:00:00,,0.02048624,0.079899841,73389096.93,7212348.775
 01/13  06:00:00,,0.063281596,0.122695197,252609607.8,7212348.775
 01/13  07:00:00,,0.097199192,0.156612793,236775264,15226686.37
 01/13  08:00:00,,0.158660608,0.218074209,270370831,57040085.26
 01/13  09:00:00,,0.386750751,0.446164352,367292014.7,40481714.87
 01/13  10:00:00,,0.434098805,0.493512406,321492135.2,30047218.49
 01/13  11:00:00,,0.562712509,0.62212611,309244745,25569456.7
 01/13  12:00:00,,0.263828819,0.527657637,320481572.3,34603993.5
 01/13  13:00:00,,0.656737503,0.673116321,322909747.9,36608306.05
 01/13  14:00:00,,0.271113135,0.542226269,344845618.4,33664273.82
 01/13  15:00:00,,0.721824344,0.645572502,312212768.1,25760035.76
 01/13  16:00:00,,0.447757796,0.895515593,314786750.9,24972292.85
 01/13  17:00:00,,1.428243447,0.653312087,329402974,30193599.58
 01/13  18:00:00,,1.390000788,0.615069429,302024899.5,29718103.58
 01/13  19:00:00,,1,1,183465262.6,47570716.74
 01/13  20:00:00,,0.805372183,0.805372183,187382641.4,51733018.28
 01/13  21:00:00,,0.57728204,0.57728204,180367803.6,48179988.36
 01/13  22:00:00,,0.592761211,0.592761211,187735491.5,63768887.82
 01/13  23:00:00,,0.389255634,0.389255634,100704522.2,11184874.12
 01/13  24:00:00,,0.340541771,0.340541771,92744575.73,11182304.19
 01/14  01:00:00,,0.063282495,0.063282495,61960495.73,11107009.83
 01/14  02:00:00,,-0.014609705,0.046892784,61924744,7212348.775
 01/14  03:00:00,,-0.033958669,0.02754382,61790585.44,7212348.775
 01/14  04:00:00,,-0.053307633,0.008194855,61748378.54,11107373.45
 01/14  05:00:00,,-0.057405061,0.004097428,61706171.65,7212348.775
 01/14  06:00:00,,-0.057405061,0.004097428,248054102.3,7212348.775
 01/14  07:00:00,,-0.05034838,0.011154109,244155429.7,15232525.78
 01/14  08:00:00,,-0.00459377,0.056908718,222713925.5,126888817.9
 01/14  09:00:00,,0.109678936,0.171181425,195805916.1,112527107.1
 01/14  10:00:00,,0.195269649,0.256772137,189433525,102549863.7
 01/14  11:00:00,,0.475529251,0.475529251,180895889,85973226.09
 01/14  12:00:00,,0.439069352,0.511267926,190378637,63541263.15
 01/14  13:00:00,,0.429508688,0.501707262,152323952,54507733.98
 01/14  14:00:00,,0.573867517,0.573867517,146570035,75962639.32
 01/14  15:00:00,,0.516958798,0.516958798,139243902.6,73174792.59
 01/14  16:00:00,,0.449123606,0.449123606,138543323.4,80764564.75
 01/14  17:00:00,,0.077659532,0.438652402,147339053.9,89330363.79
 01/14  18:00:00,,0.336444343,0.336444343,99508949.79,97007331.68
 01/14  19:00:00,,0.435010244,0.435010244,79045145.44,15236015.1
 01/14  20:00:00,,0.352378784,0.352378784,72454720.42,7212348.775
 01/14  21:00:00,,0.254495789,0.254495789,72241203.17,7212348.775
 01/14  22:00:00,,0.219895288,0.219895288,72165727.31,11107905.11
 01/14  23:00:00,,0.12610972,0.12610972,71961148,7212348.775
 01/14  24:00:00,,0.097882996,0.097882996,71899575.59,7212348.775
 01/15  01:00:00,,0.069883906,0.069883906,61974895.73,11107358.87
 01/15  02:00:00,,0.019843408,0.014113362,61853240.55,7212348.775
 01/15  03:00:00,,0.012786727,0.007056681,61865739.8,7212348.775
 01/15  04:00:00,,0.012786727,0.007056681,61850346.69,11107613.06
 01/15  05:00:00,,0.012786727,0.007056681,61850346.69,7212348.775
 01/15  06:00:00,,0.0778903,0.072160255,61850346.69,7212348.775
 01/15  07:00:00,,0.045566148,0.039836103,78266141.24,11177277.72
 01/15  08:00:00,,0.073109968,0.067379923,49598878.77,11171717.88
 01/15  09:00:00,,0.131156861,0.125426815,48714851.33,11173079.27
 01/15  10:00:00,,0.162303665,0.162303665,48636782.68,11179215.74
 01/15  11:00:00,,0.246961368,0.240382427,48875042.06,7335714.415
 01/15  12:00:00,,0.248577282,0.248577282,48889393.04,15067955.46
 01/15  13:00:00,,0.223078937,0.215114956,48819924.81,11199356.18
 01/15  14:00:00,,0.326197535,0.318233553,48837297.06,11246053
 01/15  15:00:00,,0.337351644,0.329387662,49062234.99,11210000.88
 01/15  16:00:00,,0.247894377,0.247894377,49291260.57,11179994.86
 01/15  17:00:00,,0.285454132,0.285454132,49871479.19,11159468.82
 01/15  18:00:00,,0.241520601,0.241520601,95225097.76,11162001.19
 01/15  19:00:00,,0.226269064,0.226269064,72179630.76,7212348.775
 01/15  20:00:00,,0.223309811,0.223309811,104278818.8,7212348.775
 01/15  21:00:00,,0.165262918,0.165262918,72046554.9,11108978.95
 01/15  22:00:00,,0.160710221,0.160710221,101153231.6,7212348.775
 01/15  23:00:00,,0.117914865,0.117914865,71943272.14,7212348.775
 01/15  24:00:00,,0.086273617,0.086273617,111498831.3,11847391.32
 01/16  01:00:00,,0.240837696,0.240837696,73841457.51,7212348.775
 01/16  02:00:00,,0.17479793,0.173913043,118315304.1,15023936.88
 01/16  03:00:00,,0.138376351,0.137491464,73697401.55,7212348.775
 01/16  04:00:00,,0.093759915,0.092875028,126381234.9,13492762.93
 01/16  05:00:00,,0.080784727,0.079899841,73520629.14,11109383.04
 01/16  06:00:00,,0.123580084,0.122695197,595551827.8,10862181.06
 01/16  07:00:00,,0.15749768,0.156612793,601658187.7,11858765.51
 01/16  08:00:00,,0.218959096,0.218074209,545501683.8,300247703.5
 01/16  09:00:00,,0.447049239,0.446164352,613685048.6,298928870
 01/16  10:00:00,,0.494397293,0.493512406,478526603.8,273043001.4
 01/16  11:00:00,,0.623010997,0.62212611,413830199.3,256025174
 01/16  12:00:00,,0.528542524,0.527657637,402410837,259486152.6
 01/16  13:00:00,,0.674001208,0.673116321,453686935.3,254384593.6
 01/16  14:00:00,,0.543111156,0.542226269,388094324.6,251791558.2
 01/16  15:00:00,,0.322786251,0.645572502,375710103.2,271263676.7
 01/16  16:00:00,,0.447757796,0.895515593,392914197.6,271212131.4
 01/16  17:00:00,,1.683948736,0.653312087,442298917,281584787.9
 01/16  18:00:00,,1.645706077,0.615069429,461023571.6,266078417
 01/16  19:00:00,,1,1,391108443.4,278010842.2
 01/16  20:00:00,,0.805372183,0.805372183,378685977.4,274254713.1
 01/16  21:00:00,,0.57728204,0.57728204,371526008.6,278375684.4
 01/16  22:00:00,,0.592761211,0.592761211,371603682.7,270529249.6
 01/16  23:00:00,,0.389255634,0.389255634,100704522.2,11181255.07
 01/16  24:00:00,,0.340541771,0.340541771,92744575.73,11200506.58
 01/17  01:00:00,,0.240837696,0.240837696,73841457.51,7212348.775
